DateTime,ET,Year
4/1/17 0:00,0.31,2016
4/2/17 0:00,0.44,2016
4/3/17 0:00,0.51,2016
4/4/17 0:00,0.51,2016
4/5/17 0:00,0.54,2016
4/6/17 0:00,0.55,2016
4/7/17 0:00,0.37,2016
4/8/17 0:00,0.08,2016
4/9/17 0:00,-0.12,2016
4/10/17 0:00,-0.19,2016
4/11/17 0:00,-0.17,2016
4/12/17 0:00,-0.1,2016
4/13/17 0:00,0.07,2016
4/14/17 0:00,0.09,2016
4/15/17 0:00,0.05,2016
4/16/17 0:00,-0.06,2016
4/17/17 0:00,-0.19,2016
4/18/17 0:00,-0.23,2016
4/19/17 0:00,-0.16,2016
4/20/17 0:00,-0.24,2016
4/21/17 0:00,-0.19,2016
4/22/17 0:00,-0.08,2016
4/23/17 0:00,0.07,2016
4/24/17 0:00,0.07,2016
4/25/17 0:00,-0.1,2016
4/26/17 0:00,-0.32,2016
4/27/17 0:00,-0.43,2016
4/28/17 0:00,-0.4,2016
4/29/17 0:00,-0.27,2016
4/30/17 0:00,-0.13,2016
5/1/17 0:00,0.14,2016
5/2/17 0:00,0.45,2016
5/3/17 0:00,0.72,2016
5/4/17 0:00,0.82,2016
5/5/17 0:00,0.72,2016
5/6/17 0:00,0.55,2016
5/7/17 0:00,0.47,2016
5/8/17 0:00,0.31,2016
5/9/17 0:00,0.13,2016
5/10/17 0:00,-0.02,2016
5/11/17 0:00,-0.17,2016
5/12/17 0:00,-0.3,2016
5/13/17 0:00,-0.38,2016
5/14/17 0:00,-0.54,2016
5/15/17 0:00,-0.61,2016
5/16/17 0:00,-0.65,2016
5/17/17 0:00,-0.71,2016
5/18/17 0:00,-0.68,2016
5/19/17 0:00,-0.64,2016
5/20/17 0:00,-0.5,2016
5/21/17 0:00,-0.39,2016
5/22/17 0:00,-0.38,2016
5/23/17 0:00,-0.31,2016
5/24/17 0:00,-0.31,2016
5/25/17 0:00,-0.35,2016
5/26/17 0:00,-0.37,2016
5/27/17 0:00,-0.46,2016
5/28/17 0:00,-0.5,2016
5/29/17 0:00,-0.54,2016
5/30/17 0:00,-0.65,2016
5/31/17 0:00,-0.68,2016
6/1/17 0:00,-0.65,2016
6/2/17 0:00,-0.66,2016
6/3/17 0:00,-0.67,2016
6/4/17 0:00,-0.75,2016
6/5/17 0:00,-0.75,2016
6/6/17 0:00,-0.74,2016
6/7/17 0:00,-0.74,2016
6/8/17 0:00,-0.65,2016
6/9/17 0:00,-0.59,2016
6/10/17 0:00,-0.55,2016
6/11/17 0:00,-0.42,2016
6/12/17 0:00,-0.27,2016
6/13/17 0:00,-0.15,2016
6/14/17 0:00,-0.11,2016
6/15/17 0:00,-0.19,2016
6/16/17 0:00,-0.12,2016
6/17/17 0:00,-0.11,2016
